time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,snow_cm,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
1750482000,2025-06-21 00:00,9.2,48.6,0,Fog,3.8,6.1,145,SE,1020.0,30.12,0.0,0.0,0.0,97,100,8.6,47.4,8.6,47.4,9.2,48.6,8.8,47.9,0,0,0,0,0.0,0.0,6.3,10.2,0.0
1750485600,2025-06-21 01:00,9.3,48.8,0,Mist,3.6,5.8,147,SSE,1019.0,30.1,0.0,0.0,0.0,97,79,8.8,47.8,8.8,47.8,9.3,48.8,8.8,47.9,0,45,0,0,2.0,1.0,5.8,9.3,0.0
1750489200,2025-06-21 02:00,8.5,47.2,0,Mist,3.8,6.1,139,SE,1019.0,30.09,0.0,0.0,0.0,97,76,7.7,45.8,7.7,45.8,8.5,47.2,8.0,46.4,0,45,0,0,2.0,1.0,6.8,10.9,0.0
1750492800,2025-06-21 03:00,8.5,47.2,0,Fog,3.8,6.1,147,SSE,1019.0,30.09,0.0,0.0,0.0,97,100,7.7,45.8,7.7,45.8,8.5,47.2,8.1,46.5,0,45,0,0,0.0,0.0,6.6,10.7,0.0
1750496400,2025-06-21 04:00,8.7,47.6,0,Mist,3.6,5.8,139,SE,1019.0,30.09,0.0,0.0,0.0,96,74,8.0,46.5,8.0,46.5,8.7,47.6,8.2,46.7,0,0,0,0,2.0,1.0,6.0,9.6,0.0
1750500000,2025-06-21 05:00,8.4,47.1,0,Mist,3.4,5.4,139,SE,1019.0,30.1,0.0,0.0,0.0,96,71,7.8,46.1,7.8,46.1,8.4,47.1,7.9,46.1,0,45,0,0,2.0,1.0,5.8,9.3,0.0
1750503600,2025-06-21 06:00,8.5,47.2,1,Light drizzle,3.8,6.1,143,SE,1020.0,30.11,0.15,0.01,0.0,96,75,7.7,45.8,7.7,45.8,8.5,47.2,7.9,46.3,1,100,0,0,2.0,1.0,6.2,10.0,2.0
1750507200,2025-06-21 07:00,9.2,48.5,1,Mist,3.4,5.4,141,SE,1020.0,30.13,0.01,0.0,0.0,96,74,8.7,47.6,8.7,47.6,9.2,48.5,8.5,47.3,0,45,0,0,2.0,1.0,5.0,8.0,2.0
1750510800,2025-06-21 08:00,10.2,50.3,1,Patchy rain possible,3.6,5.8,146,SSE,1020.0,30.12,0.01,0.0,0.0,92,61,9.7,49.5,9.7,49.5,10.2,50.3,9.0,48.1,0,45,0,0,10.0,6.0,4.7,7.6,3.0
1750514400,2025-06-21 09:00,11.6,52.9,1,Patchy rain possible,4.3,6.8,149,SSE,1020.0,30.12,0.07,0.0,0.0,87,88,11.1,52.0,11.1,52.0,11.6,52.9,9.5,49.1,0,45,0,0,10.0,6.0,4.9,7.9,3.0
1750518000,2025-06-21 10:00,11.7,53.1,1,Patchy rain possible,4.7,7.6,158,SSE,1020.0,30.11,0.11,0.0,0.0,87,88,11.1,52.0,11.1,52.0,11.7,53.1,9.7,49.4,1,100,0,0,10.0,6.0,5.4,8.7,3.0
1750521600,2025-06-21 11:00,12.4,54.3,1,Patchy rain possible,4.9,7.9,157,SSE,1019.0,30.09,0.13,0.01,0.0,86,70,11.8,53.2,11.8,53.2,12.4,54.2,10.1,50.2,1,100,0,0,10.0,6.0,5.7,9.1,3.0
1750525200,2025-06-21 12:00,13.3,56.0,1,Patchy rain possible,5.1,8.3,163,SSE,1018.0,30.06,0.13,0.01,0.0,81,54,12.9,55.2,12.9,55.2,13.3,56.0,10.2,50.4,1,100,0,0,10.0,6.0,6.2,10.0,3.0
1750528800,2025-06-21 13:00,13.8,56.9,1,Patchy rain possible,5.6,9.0,165,SSE,1017.0,30.02,0.21,0.01,0.0,79,80,13.4,56.0,13.4,56.0,13.8,56.9,10.3,50.5,1,100,0,0,9.0,5.0,6.7,10.8,3.0
1750532400,2025-06-21 14:00,14.0,57.2,1,Patchy rain possible,5.6,9.0,162,SSE,1016.0,30.0,0.21,0.01,0.0,79,86,13.5,56.4,13.5,56.4,14.0,57.2,10.3,50.6,1,100,0,0,9.0,5.0,6.5,10.5,3.0
1750536000,2025-06-21 15:00,13.8,56.9,1,Patchy rain possible,5.6,9.0,158,SSE,1015.0,29.98,0.21,0.01,0.0,79,79,13.4,56.1,13.4,56.1,13.9,56.9,10.3,50.6,1,100,0,0,9.0,5.0,6.7,10.8,3.0
1750539600,2025-06-21 16:00,13.7,56.7,1,Patchy rain possible,5.4,8.6,159,SSE,1015.0,29.98,0.19,0.01,0.0,80,86,13.3,55.9,13.3,55.9,13.7,56.7,10.3,50.5,1,100,0,0,9.0,5.0,6.8,10.9,3.0
1750543200,2025-06-21 17:00,12.8,55.0,1,Patchy rain possible,4.7,7.6,162,SSE,1016.0,30.0,0.15,0.01,0.0,84,50,12.3,54.2,12.3,54.2,12.8,55.0,10.2,50.4,1,100,0,0,10.0,6.0,6.0,9.7,3.0
1750546800,2025-06-21 18:00,10.6,51.1,1,Patchy rain possible,4.7,7.6,165,SSE,1018.0,30.05,0.13,0.0,0.0,94,86,9.8,49.7,9.8,49.7,10.6,51.1,9.7,49.4,1,100,0,0,10.0,6.0,7.4,12.0,3.0
1750550400,2025-06-21 19:00,9.4,48.9,0,Mist,4.5,7.2,162,SSE,1019.0,30.1,0.04,0.0,0.0,97,73,8.5,47.2,8.5,47.2,9.4,48.9,8.9,48.0,0,45,0,0,2.0,1.0,7.8,12.5,0.0
