text,icon,code
Fog,//cdn.weatherapi.com/weather/64x64/night/248.png,1135
Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030
Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030
Fog,//cdn.weatherapi.com/weather/64x64/night/248.png,1135
Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030
Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030
Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png,1153
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030
Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030
Fog,//cdn.weatherapi.com/weather/64x64/night/248.png,1135
Fog,//cdn.weatherapi.com/weather/64x64/night/248.png,1135
Fog,//cdn.weatherapi.com/weather/64x64/night/248.png,1135
Fog,//cdn.weatherapi.com/weather/64x64/night/248.png,1135
